"","CAP1","CAP2","ID2","ID","Lat","TL","Sex","SpeciesExt","mtDNA","Species"
"A67",0.589254801142778,-0.142049203439342,"A67","A67",18.5,61.5,"M","A.coronus","AI","A.inodorus"
"A68",-0.204512595223614,-0.630098864319705,"A68","A68",18.5,49.5,"M","A.inodorus","AI","A.inodorus"
"A70",-0.419457412192625,-0.40649602478939,"A70","A70",18.5,56,"M","A.inodorus","AI","A.inodorus"
"A71",0.573274289097142,0.527957487630634,"A71","A71",18.5,66,"F","A.coronus","AC","A.coronus"
"A85",0.27651466589369,1.37456574302338,"A85","A85",20.82,45.5,"F","A.inodorus","AI","A.inodorus"
"K1",0.0100431276006776,-1.97575807428706,"K1","K1",18.5,50,"M","A.inodorus","AI","A.inodorus"
"K101",-0.144688290194621,-0.826498681766457,"K101","K101",20.82,51,"F","A.inodorus","AI","A.inodorus"
"K102",0.0569245996851191,-0.0423228676487743,"K102","K102",20.82,52.5,"F","A.inodorus","AI","A.inodorus"
"K104",-0.404893474949945,-0.634510342706712,"K104","K104",20.82,57.8,"F","A.inodorus","AI","A.inodorus"
"K105",-0.0523268468966091,-0.483397772757714,"K105","K105",20.82,51,"F","A.inodorus","AI","A.inodorus"
"K106",-0.0352725068981286,0.441473532522794,"K106","K106",20.82,61.1,"M","A.inodorus","AI","A.inodorus"
"K107",-0.199271476609838,-2.10428698242225,"K107","K107",20.82,51,"M","A.inodorus","AI","A.inodorus"
"K108",-0.165032130566043,-0.202319313861392,"K108","K108",20.82,43.3,"J","A.inodorus","AI","A.inodorus"
"K109",0.273099900704235,0.842878401940847,"K109","K109",20.82,50,"F","A.coronus","AC","A.coronus"
"K110",0.530448502616163,0.534266439064577,"K110","K110",19.99,71.7,"F","A.coronus","AC","A.coronus"
"K111",-0.228610086060645,0.593438267171954,"K111","K111",20.82,58.3,"M","A.inodorus","AI","A.inodorus"
"K112",-0.188648025720901,0.486816905389136,"K112","K112",20.82,43.2,"M","A.inodorus","AI","A.inodorus"
"K116",0.175087641350415,0.09353098688905,"K116","K116",20.82,55,"F","A.inodorus","AI","A.inodorus"
"K117",0.126958037593061,-0.574276480009161,"K117","K117",20.82,58,"M","A.inodorus","AI","A.inodorus"
"K118",-0.181741963878335,1.25728975931394,"K118","K118",20.82,57,"M","A.inodorus","AI","A.inodorus"
"K119",0.147867240159692,-1.06476062006593,"K119","K119",20.82,53.2,"F","A.inodorus","AI","A.inodorus"
"K12",-0.23951816806184,0.733574356010233,"K12","K12",20.82,68.5,"F","A.inodorus","AI","A.inodorus"
"K13",-0.216537731165992,1.66648226877116,"K13","K13",20.82,62,"M","A.inodorus","AI","A.inodorus"
"K14",-0.0130265521484032,0.661885546848647,"K14","K14",20.82,43.5,"M","A.inodorus","AI","A.inodorus"
"K16",0.319020347875396,0.961714913005559,"K16","K16",20.82,68,"M","A.coronus","AC","A.coronus"
"K17",0.0102836617376876,-1.2001330235669,"K17","K17",20.82,51,"M","A.inodorus","AI","A.inodorus"
"K18",-0.207871371344441,-0.807181533066571,"K18","K18",20.82,49,"F","A.inodorus","AI","A.inodorus"
"K19",-0.594241604654126,0.267865712721735,"K19","K19",20.82,58.5,"F","A.inodorus","AI","A.inodorus"
"K2",-0.0589910772329555,1.76748007069569,"K2","K2",22.66,46,"U","A.inodorus","AI","A.inodorus"
"K20",-0.314412349231161,-0.0876165284882542,"K20","K20",20.82,47.5,"M","A.inodorus","AI","A.inodorus"
"K21",0.059193941966691,-2.0380982194211,"K21","K21",20.82,71,"M","A.coronus","AC","A.coronus"
"K22",0.0175593629555301,-0.895971717280557,"K22","K22",20.82,66.5,"F","A.inodorus","AI","A.inodorus"
"K23",0.19642689421029,-3.42087753078425,"K23","K23",20.82,55,"F","A.inodorus","AI","A.inodorus"
"K24",0.187945870245359,-0.0851973073927143,"K24","K24",22.66,44.3,"F","A.inodorus","AI","A.inodorus"
"K25",0.173128377626368,-0.537954010953327,"K25","K25",22.66,40.6,"F","A.inodorus","AI","A.inodorus"
"K26",-0.176743069229646,-0.391573599571049,"K26","K26",22.66,52.3,"F","A.inodorus","AI","A.inodorus"
"K27",0.056685506162064,1.10708559969821,"K27","K27",22.66,39.3,"M","A.inodorus","AI","A.inodorus"
"K28",0.152556662735849,-0.108893002924726,"K28","K28",22.66,40.5,"F","A.inodorus","AI","A.inodorus"
"K29",0.00810268682778477,0.295281808864728,"K29","K29",22.66,40.1,"M","A.inodorus","AI","A.inodorus"
"K3",-0.0654221256569113,1.15381627989523,"K3","K3",22.7,42,"U","A.inodorus","AI","A.inodorus"
