"","ID","length","circ","FF","OCD.OH","round","ellip","AR"
"133","K111",58.3,15.462149696848,0.814082770822198,0.505544786966096,0.510461912358181,0.300282610987286,1.85829683727306
"134","K112",43.2,15.3331475276113,0.818560698700806,0.452090692177279,0.530125732974478,0.279035308465436,1.77406095400182
"135","K116",55,14.2890523018802,0.869728367219571,0.48127088138311,0.55742090675836,0.268303177490161,1.73337253691997
"136","K117",58,14.410112813256,0.863464758438248,0.433898328367643,0.548790994879247,0.286324746827812,1.8023950544877
"137","K118",57,14.8280996732635,0.843029117602001,0.482509002706132,0.527359237617116,0.285616979402692,1.7996186112147
"138","K119",53.2,14.3997421995755,0.864160845942115,0.46772797779239,0.553824046917955,0.28246472583331,1.78731941411898
"139","K12",68.5,14.665534813388,0.851207741315966,0.54041254731351,0.519657223984215,0.310646596791673,1.901269494996
"140","K13",62,14.5228823410234,0.857851673018382,0.575786425013687,0.497365733486579,0.321456895252385,1.94749145044205
"141","K14",43.5,14.5078297761807,0.85916006731911,0.499903580775732,0.533881606503726,0.308603989388767,1.89269820667881
"142","K16",68,13.7485094483064,0.896910021228992,0.395287548982754,0.541610381996868,0.315513888972942,1.92190004702804
"143","K17",51,14.4386394802478,0.862282396559316,0.473167837737065,0.544876613904468,0.289588661059105,1.81527037980794
"144","K18",49,14.7520870968552,0.846611326113913,0.513862116414043,0.515371526643941,0.319662742113146,1.93971846582687
"145","K19",58.5,15.3674026630942,0.818298541570566,0.519205815698399,0.484725414919991,0.347457833483217,2.06493603421191
"146","K2",46,15.2322675893814,0.823437783590663,0.50942586342951,0.519300516226639,0.289183161776216,1.81366435409391
"147","K20",47.5,14.8455554737284,0.842020152055727,0.562412150421777,0.508064549779258,0.331528892424987,1.99190193463308
"148","K21",71,13.925378415818,0.887498611241732,0.381207525967287,0.565832126800629,0.302596021274889,1.86777830498774
"149","K22",66.5,15.0256550040484,0.834455319891769,0.513815510990487,0.519995982565085,0.279950219152428,1.77758573531652
"150","K23",55,14.4359140114115,0.862256998067822,0.45898338438311,0.565696886292765,0.272320978534205,1.74846455786414
"151","K24",44.3,14.3658846756514,0.86650577685221,0.495440102704941,0.560867459912741,0.291108024734015,1.82130433095899
"152","K25",40.6,14.270511317594,0.87196568218013,0.46957936365735,0.560806399541538,0.277107114068303,1.76666161601841
"153","K26",52.3,14.9743988997728,0.835897623209565,0.53728074999703,0.513367134675358,0.313087394870444,1.91157854007176
"154","K27",39.3,14.8231281690588,0.843264514220302,0.529457296397386,0.538883173992486,0.285084978896048,1.79753528875594
"155","K28",40.5,14.0403753902934,0.884573814557595,0.477197498791199,0.562473097077835,0.286480216077247,1.8030056700103
