"CAP1" "CAP2" "ID2" "ID" "Lat" "TL" "Sex" "SpeciesExt" "mtDNA" "Species"
"K35" -0.533409864791155 1.04003306599228 "K35" "K35" NA 74 "F" "A.inodorus" "AI" "A.inodorus"
"K36" -0.369252544751699 -1.76455439117646 "K36" "K36" NA 75 "M" "A.inodorus" "AI" "A.inodorus"
"K37" -0.543324670957756 0.980351381010562 "K37" "K37" 22.7 68 "M" "A.inodorus" "AI" "A.inodorus"
"K38" -0.338064569232559 0.218527080135468 "K38" "K38" 20.82 59 "F" "A.inodorus" "AI" "A.inodorus"
"K39" 0.216883692565258 0.830675941819816 "K39" "K39" 20.82 51 "F" "A.inodorus" "AI" "A.inodorus"
"K40" -0.45223218607639 1.09348009809129 "K40" "K40" 20.82 53 "F" "A.inodorus" "AI" "A.inodorus"
"K42" -0.160921403069242 0.600663826007298 "K42" "K42" 20.82 44.5 "F" "A.inodorus" "AI" "A.inodorus"
"K43" -0.131593530878266 0.830712564798461 "K43" "K43" 20.82 60.5 "M" "A.inodorus" "AI" "A.inodorus"
"K44" 0.324022960589677 -0.443089892859168 "K44" "K44" 20.82 43.5 "F" "A.inodorus" "AI" "A.inodorus"
"K45" 0.200868894526769 1.43953160758338 "K45" "K45" 20.82 50 "F" "A.inodorus" "AI" "A.inodorus"
"K46" -0.171768815961704 -0.764046613681626 "K46" "K46" 20.82 50 "M" "A.inodorus" "AI" "A.inodorus"
"K47" -0.0918614586929798 -0.0345540970973275 "K47" "K47" 20.82 47 "F" "A.inodorus" "AI" "A.inodorus"
"K48" -0.0858782128493939 1.31620156886634 "K48" "K48" 20.82 40 "M" "A.inodorus" "AI" "A.inodorus"
"K49" -0.0412322274458771 0.68488620447517 "K49" "K49" 20.82 53.5 "F" "A.inodorus" "AI" "A.inodorus"
"K5" -0.0666682889231674 -0.383162084231403 "K5" "K5" 20.82 42 "M" "A.inodorus" "AI" "A.inodorus"
"K50" -0.292564334270163 -0.492049600283081 "K50" "K50" 20.82 54 "F" "A.inodorus" "AI" "A.inodorus"
"K51" -0.0690685293102066 0.772639284702946 "K51" "K51" 20.82 45.5 "M" "A.inodorus" "AI" "A.inodorus"
"K52" 0.493120228260513 -0.762633270960594 "K52" "K52" 20.82 42.5 "F" "A.inodorus" "AI" "A.inodorus"
"K53" -0.15429782687367 2.06543273736678 "K53" "K53" 20.82 49 "F" "A.inodorus" "AI" "A.inodorus"
"K54" -0.0246115375574334 0.206095957370962 "K54" "K54" 20.82 53.5 "M" "A.inodorus" "AI" "A.inodorus"
"K55" -0.189428263052409 -1.3031375330446 "K55" "K55" 18.5 51 "F" "HYBRID?" "AI" "A.inodorus"
"K56" 0.345744608725133 -0.311685506101686 "K56" "K56" 20.82 41.6 "F" "A.inodorus" "AI" "A.inodorus"
"K57" -0.428229628404803 1.54108806922262 "K57" "K57" 20.82 49.9 "F" "A.inodorus" "AI" "A.inodorus"
"K59" 0.161261749313112 -1.03558334257703 "K59" "K59" 20.82 51.2 "J" "A.coronus" "AC" "Hybrid"
"K6" 0.0970853186743562 0.240276304190999 "K6" "K6" 20.82 45 "F" "A.inodorus" "AI" "A.inodorus"
"K60" -0.238177480911203 -1.4482339010271 "K60" "K60" 20.82 45.6 "F" "A.inodorus" "AI" "A.inodorus"
"K61" -0.325328597549852 -0.816419140654427 "K61" "K61" 20.82 51.7 "M" "A.inodorus" "AI" "Hybrid"
"K62" 0.347199792513922 0.471886048163803 "K62" "K62" 20.82 54 "J" "A.coronus" "AC" "A.coronus"
"K63" -0.0834613363213847 -1.77489138324535 "K63" "K63" 20.82 52.4 "M" "A.inodorus" "AI" "A.inodorus"
"K64" 0.669288986976813 -0.474283053340999 "K64" "K64" 20.82 40.5 "F" "A.inodorus" "AI" "A.inodorus"
"K66" -0.40743706177343 -1.49995149372254 "K66" "K66" 20.82 55.2 "F" "A.inodorus" "AI" "A.inodorus"
"K68" -0.147222233561797 -0.780225503421227 "K68" "K68" NA 53 "U" "A.inodorus" "AI" "A.inodorus"
"K69" -0.0333198948908398 -1.69740340121918 "K69" "K69" NA 53 "U" "A.inodorus" "AI" "A.inodorus"
"K7" 0.39083961073561 0.885467322718762 "K7" "K7" 20.82 48.5 "M" "A.coronus" "AC" "A.coronus"
"K70" 0.0997657575025574 -2.98799906389036 "K70" "K70" NA 52 "U" "A.inodorus" "AI" "A.inodorus"
"K71" 0.553541276530179 1.1120166593088 "K71" "K71" NA 47 "U" "A.inodorus" "AI" "A.inodorus"
"K72" -0.0376618687882932 0.112173725485766 "K72" "K72" NA 47 "U" "A.inodorus" "AI" "A.inodorus"
"K73" 0.0493710385266883 0.527896235142399 "K73" "K73" NA 52.5 "U" "A.inodorus" "AI" "A.inodorus"
"K74" 0.206365497852998 -1.54543340407797 "K74" "K74" NA 48.5 "U" "A.inodorus" "AI" "A.inodorus"
"K75" 0.102156264211176 0.181497933609001 "K75" "K75" NA 62 "U" "A.inodorus" "AI" "A.inodorus"
"K76" -0.295943446461675 1.59417669642717 "K76" "K76" NA 43.5 "U" "A.inodorus" "AI" "A.inodorus"
"K77" -0.183206469532618 -0.71210172845166 "K77" "K77" NA 43.5 "U" "A.inodorus" "AI" "A.inodorus"
"K8" 0.0327821468350301 -1.18843155174287 "K8" "K8" 20.82 44 "M" "A.inodorus" "AI" "A.inodorus"
"K80" 0.0185478779798736 1.57698097435002 "K80" "K80" NA 51 "" "A.coronus" "AC" "A.coronus"
"K81" 0.0267746547227013 -1.48821206784257 "K81" "K81" NA 68 "" "A.inodorus" "AI" "Hybrid"
"K82" -0.28361019273165 -0.213729667201693 "K82" "K82" NA 60 "" "A.inodorus" "AI" "A.inodorus"
"K83" -0.167099253399965 0.499229614451331 "K83" "K83" 20.82 37.9 "J" "A.inodorus" "AI" "A.inodorus"
"K84" -0.324312780291228 -0.880741527086798 "K84" "K84" 20.82 56.7 "M" "A.inodorus" "AI" "A.inodorus"
"K88" 0.057461933243535 -0.869705804389703 "K88" "K88" 20.82 55 "M" "A.inodorus" "AI" "A.inodorus"
"K89" 0.67445822658865 -0.0154826693390129 "K89" "K89" 20.82 53.4 "J" "A.coronus" "AC" "A.coronus"
"K9" -0.222127938559585 1.31812029820295 "K9" "K9" 20.82 48.5 "F" "A.inodorus" "AI" "A.inodorus"
"K90" -0.497142364410595 1.56184660483867 "K90" "K90" 20.82 53 "M" "A.inodorus" "AI" "A.inodorus"
"K92" -0.166088932253554 -1.07585828368501 "K92" "K92" 20.82 60.1 "F" "A.inodorus" "AI" "Hybrid"
"K93" -0.249712008522837 -0.595213799772593 "K93" "K93" 20.82 49.7 "F" "HYBRID?" "AI" "A.inodorus"
"K95" 0.288199199635219 0.348215858234632 "K95" "K95" 21.88 34.2 "F" "A.inodorus" "AI" "A.inodorus"
"K96" 0.143477147508149 -1.86995513202692 "K96" "K96" 20.82 55 "M" "A.inodorus" "AI" "A.inodorus"
"K97" -0.0707621722496027 0.86285474850535 "K97" "K97" 20.82 50.9 "F" "A.inodorus" "AI" "A.inodorus"
